"rep","b","g","x","c","a","w","r","mu","m","theta","tau_s","ep_s","S.pos","P.pos","I_s.pos","I_p.pos","H.pos","S.neg","P.neg","I_s.neg","I_p.neg","H.neg","S.pt.eq","P.pt.eq","I_s.pt.eq","I_p.pt.eq","H.pt.eq","S.cyc1","P.cyc1","I_s.cyc1","I_p.cyc1","H.cyc1","S.cyc2","P.cyc2","I_s.cyc2","I_p.cyc2","H.cyc2","S.NA","P.NA","I_s.NA","I_p.NA","H.NA","qual"
99,16.1452223893166,0.955,1,0.8,0.1,1,2,0.15,0.195517350709997,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.77908314324845","0.583901922341287","1.36107489454479","0.525664622236533","1.06455716520359","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
100,7.66717612730754,0.955,1,0.8,0.1,1,2,0.15,0.119911275058985,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.38087081912318","0.334311353216699","1.22178499873377","0.343359628455792","0.89638063653963","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
101,2.11337431209036,0.955,1,0.8,0.1,1,2,0.15,0.0890648540342227,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.945344168278233","0.223998205711059","0.978387288178934","0.283976457870068","0.761512702478743","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
102,10.4288748177,0.955,1,0.8,0.1,1,2,0.15,0.13961680252105,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.58028239885067","0.400373988454524","1.28368943512701","0.386133833417095","0.942143413341587","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
103,8.70721375194798,0.955,1,0.8,0.1,1,2,0.15,0.243156295525841,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.60901683492878","0.707577776699647","1.42060909057447","0.681105078356129","1.19363122082727","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
104,6.15266021560058,0.955,1,0.8,0.1,1,2,0.15,0.0667083634063601,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.04247779022603","0.174493715932387","0.976492352822744","0.195308532733695","0.654113480833934","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
105,21.9541595832061,0.955,1,0.8,0.1,1,2,0.15,0.538027076143771,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,2.10550261774291,0.955,1,0.8,0.1,1,2,0.15,0.0663185108220205,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.872665791730426","0.163769924430986","0.898579411890997","0.214887562945059","0.655600350951245","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
107,2.40464348405424,0.955,1,0.8,0.1,1,2,0.15,0.101383285759948,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","0.99118245970184","0.256870460340849","1.01791141703228","0.316555032607504","0.809404141532318","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
108,9.51479610031168,0.955,1,0.8,0.1,1,2,0.15,0.251769767422229,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.72505079813074","0.74496429548545","1.44883357220724","0.70614775174435","1.22492748538488","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
109,3.55477974565523,0.955,1,0.8,0.1,1,2,0.15,0.162010433990508,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.12349501871622","0.422279191217941","1.12999148128375","0.477902584887509","0.974799084699313","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
110,10.7049919800481,0.955,1,0.8,0.1,1,2,0.15,0.612544693145901,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,10.3938165796149,0.955,1,0.8,0.1,1,2,0.15,0.393325602496043,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.97071574432508","1.19104133782591","1.62834522374544","1.1107820542421","1.51846508710892","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
112,7.36125368863241,0.955,1,0.8,0.1,1,2,0.15,0.0639203703729436,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.06111304448668","0.16813105336672","0.973091113404368","0.180457097277284","0.623968659721229","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
113,11.4860062000829,0.955,1,0.8,0.1,1,2,0.15,0.779808851191774,4,0.8,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,18.6098335951959,0.955,1,0.8,0.1,1,2,0.15,0.46362827157136,4,0.8,27,"FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","3.72995447449701","2.70220634102785","3.33909725169991","2.83335832178485","3.38071872719507","FALSE","FALSE","FALSE","FALSE","FALSE","extinct"
115,3.70826839429853,0.955,1,0.8,0.1,1,2,0.15,0.149979566503316,4,0.8,27,"TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","1.12493198271243","0.388879147081683","1.12354453557505","0.443667195818449","0.952750605452444","FALSE","FALSE","FALSE","FALSE","FALSE","cycles"
