"rep","b","theta","g","x","c","a","w","r","mu","m","ep_s","tau_s","tau_p","timestep","S","P","I_s","I_p","H","P.prop","i_s_mean","i_p_mean","H_SP","seeds"
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.75,100,0.69348554935743,0.29942156480916,0,0.0935344570518067,4.35923105171927,0.301560499000436,0,0.312383836185687,4.39037145521739,0.954719275388702
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.8,100,0.662315990614714,0.294745536060644,0,0.0960438905861483,4.15245273509945,0.307969266181383,0,0.325853588386109,4.3387521275923,0.904078201088531
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.85,100,0.631078227019421,0.288895341233597,0,0.0978393656223607,3.94665275251834,0.314025697262362,0,0.338667163009905,4.28996319971761,0.852817756800334
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.9,100,0.59982622926309,0.281957238484729,0,0.0989312973250086,3.74209430397796,0.319757909733647,0,0.350873408523494,4.24377915990614,0.801361754983298
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,0.95,100,0.568577619719746,0.27399850300055,0,0.0993290913498633,3.53881595889102,0.325191392934247,0,0.362516912545555,4.19999554160851,0.750029195854528
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0,1,100,0.537324862935562,0.265070781452338,0,0.0990405970289817,3.33670384901241,0.330349227723619,0,0.373638303272555,4.15842717037402,0.699059315453193
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0,100,0.944793317072978,0.176519839731822,0.0223587037527281,0.00371468641754992,5.57204525594947,0.157422428035017,0.0236651798321316,0.0210440164867217,4.96921419510238,1.02568686063298
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.05,100,1.13672398771611,0.237850198310327,0.0269417281190244,0.0112527458939983,6.65723917643131,0.173035548556236,0.0237012048748574,0.0473102228795147,4.843128325926,1.32582647681597
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.1,100,1.23814862878991,0.287831530093456,0.0293916936939662,0.0211805629549187,7.19839002505433,0.188620755268585,0.0237384212287113,0.0735866669924648,4.71722386634551,1.53636411396647
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.15,100,1.28161306708816,0.328154890282527,0.0304717069294868,0.0325942979195197,7.39548618750586,0.203852293605421,0.0237760582440993,0.0993259551654323,4.59413181486435,1.67558066041949
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.2,100,1.28934954107672,0.360499291696191,0.0307039169485662,0.0447542664261308,7.38419255999634,0.218504437821917,0.0238134935255228,0.124145227069814,4.47567826416296,1.76020735234197
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.25,100,1.27581191258933,0.386363526513898,0.0304284631397694,0.0571106607922176,7.25197116435455,0.232444492575554,0.0238502735705087,0.147815869959359,4.36293967155905,1.80418521195343
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.3,100,1.25009325034429,0.407002535377577,0.0298598475034232,0.0692839421166996,7.05327923030455,0.245611954893891,0.0238860960933909,0.170229755577382,4.25641009474414,1.81845973321517
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.35,100,1.21779300173514,0.423428520974908,0.0291305557191777,0.0810282040548954,6.82121641639075,0.257995959177848,0.0239207777328919,0.191362178127101,4.15618264932772,1.81131728935539
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.4,100,1.18230703427102,0.436441567269736,0.0283212445591816,0.0921943573016049,6.57551805228367,0.269616645138302,0.0239542214824458,0.21124100960032,4.0620996033757,1.78890018790397
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.45,100,1.14566556698168,0.446668298580886,0.0274803808012206,0.102699899557286,6.32771314263311,0.280511711922349,0.0239863897399127,0.229924308225084,3.97386080864238,1.75571069546975
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.5,100,1.10905966145189,0.454598362811721,0.0266366009614414,0.11250643568517,6.08434321300649,0.290727483732136,0.0240172840896323,0.247485351661431,3.89109582696118,1.7150322557038
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.55,100,1.07316671972111,0.4606151058823,0.0258063660104659,0.121603862633591,5.84893764173069,0.300313315879257,0.0240469309532562,0.264003201546465,3.81340914600396,1.66925587159148
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.6,100,1.03835049647705,0.465019952509764,0.0249986742057244,0.129999606870091,5.62321744884224,0.309318274030969,0.0240753717463812,0.279557051624277,3.74040706509295,1.62012325322776
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.65,100,1.00478394842314,0.468051237918899,0.0242179621440761,0.137711455504071,5.40782768796648,0.317789283050305,0.0241026562795739,0.294223034461737,3.67171271987157,1.56890432797675
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.7,100,0.972524863240387,0.469898553984866,0.0234658952788585,0.144762855212641,5.2027833339336,0.325770192284313,0.0241288384141375,0.308072570100532,3.60697370259146,1.51652562699543
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.75,100,0.941562558969688,0.470713620810773,0.0227424768653589,0.1511798719317,5.00774095822791,0.333301394974987,0.0241539732529775,0.321171653523224,3.54586519968521,1.46366287747934
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.8,100,0.911846782574588,0.470618523845707,0.0220467367030015,0.156989254746455,4.82216410799544,0.340419771592178,0.0241781153635842,0.33358069602446,3.48809050440606,1.41080785035615
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.85,100,0.8833055918226,0.46971197302384,0.0213771592442155,0.162217228101611,4.64542352930833,0.34715881391913,0.0242013176890528,0.345354679927178,3.43338006098654,1.35831678522854
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.9,100,0.855856377850776,0.468074081305525,0.0207319490128767,0.166888761313279,4.4768572739711,0.353548842439817,0.0242236309144984,0.356543478860874,3.38148974744796,1.30644563601364
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,0.95,100,0.829412593806501,0.465770033696554,0.0201091938762624,0.171027148711946,4.31580602477429,0.359617264628154,0.0242451031325355,0.367192254414911,3.33219882133117,1.2553758637718
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.05,1,100,0.80388778461897,0.46285292173936,0.0195069638875865,0.174653790056987,4.161633093646,0.36538884352267,0.0242657797031117,0.377341876552607,3.28530777668778,1.20523341992328
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.1,0,100,1.60723847476215,0.342007019447319,0.0764891843012358,0.0142541536690623,8.3247784005497,0.175456103637691,0.0475904388193265,0.0416779564702996,4.27076960048374,1.92375473366235
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.1,0.05,100,1.65442367286044,0.396526298758878,0.0788899572862024,0.0269581686767624,8.463439543336,0.193337869887583,0.047684253181535,0.0679858278281695,4.12659482700776,2.1365342744624
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.1,0.1,100,1.64864685609989,0.441207683982042,0.0787714081141454,0.0414648395534372,8.32445529145308,0.211118848474854,0.0477794306419815,0.0939803205130147,3.98327019024335,2.27406254791132
1,6,1.5,0.15,1,0.8,0.1,1,2,0.15,0.05,30,0.1,0.15,100,1.61339113333063,0.477685531840179,0.0772391135462658,0.0569063915058182,8.03747217296102,0.228439989693615,0.0478737684561437,0.119129401484275,3.84370038020796,2.35395566748871
